,frame,average_for_this_video_SEPARATION_pinna_ear_left_to_mouth_corner_left,SEPARATION_pinna_ear_left_to_mouth_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_mouth_corner_right,SEPARATION_pinna_ear_right_to_mouth_corner_right,happy,average_for_this_video_SEPARATION_pinna_ear_left_inner_brow_left,SEPARATION_pinna_ear_left_inner_brow_left,average_for_this_video_SEPARATION_pinna_ear_right_inner_brow_right,SEPARATION_pinna_ear_right_inner_brow_right,scared_sad,average_for_this_video_SEPARATION_upper_lip_to_lower_lip,SEPARATION_upper_lip_to_lower_lip,average_for_this_video_SEPARATION_pinna_ear_left_to_nose_corner_left,SEPARATION_pinna_ear_left_to_nose_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_nose_corner_right,SEPARATION_pinna_ear_right_to_nose_corner_right,angry_disgusted,average_for_this_video_SEPARATION_pinna_ear_left_to_pinna_ear_right,SEPARATION_pinna_ear_left_to_pinna_ear_right,ears_apart,ears_tilted,brows_tilted,nose_tilted,mouth_tilted,suprised
25,23,327.7203284802666,227.2061949800433,502.42287643562145,234.8459673530314,63.64478562204041,178.45414740797662,105.69252492097988,163.79409037648512,56.368971123827805,54.15040128378226,49.384335236925835,26.850678119877074,264.33920519672085,202.0189748690722,246.37970266439223,181.0633298077208,40.0,165.44702592936505,164.80106566097297,False,False,False,False,True,28.0
26,24,327.7203284802666,232.3980070122397,502.42287643562145,236.23323124261995,63.43572388642495,178.45414740797662,105.30575889259715,163.79409037648512,59.11476078746886,54.17597796834065,49.384335236925835,24.221344175231465,264.33920519672085,200.6391008329648,246.37970266439223,180.56223362662698,40.0,165.44702592936505,165.0779460658886,False,False,False,False,True,28.0
27,25,327.7203284802666,228.90576729163524,502.42287643562145,236.49642740586586,63.576347948437835,178.45414740797662,104.24089750062961,163.79409037648512,57.81235057699773,54.24639683122439,49.384335236925835,24.023618178123392,264.33920519672085,202.7669399161465,246.37970266439223,182.74609364972167,40.0,165.44702592936505,160.11795414009862,False,False,False,False,True,28.0
28,26,327.7203284802666,235.03203815708832,502.42287643562145,237.79083421220676,63.32965781173036,178.45414740797662,101.12797368730867,163.79409037648512,59.02505082738592,54.45225325238049,49.384335236925835,23.53136911925431,264.33920519672085,201.41267430647986,246.37970266439223,184.262693434761,40.0,165.44702592936505,156.32084768935175,False,False,False,False,True,28.0
29,27,327.7203284802666,239.45965652698214,502.42287643562145,237.80217521456984,63.1513683098546,178.45414740797662,102.75499702931769,163.79409037648512,58.962841571063564,54.344658841977584,49.384335236925835,24.78955156442926,264.33920519672085,203.08117375883603,246.37970266439223,184.0408614008905,40.0,165.44702592936505,159.1991730186597,False,False,False,False,True,28.0
30,28,327.7203284802666,237.5351772839983,502.42287643562145,238.36743186170563,63.22886244257726,178.45414740797662,93.53095758527122,163.79409037648512,59.34721482832604,54.95464092391246,49.384335236925835,24.61995066971211,264.33920519672085,195.16557895929918,246.37970266439223,185.9523916810781,40.0,165.44702592936505,153.40010599993929,False,False,False,False,True,28.0
31,29,327.7203284802666,238.87707050750822,502.42287643562145,236.20253274502127,63.174827642284434,178.45414740797662,97.06758087178184,163.79409037648512,60.67240389185185,54.720765424093614,49.384335236925835,23.11655208107291,264.33920519672085,199.61154320068826,246.37970266439223,191.1120701357724,40.0,165.44702592936505,166.35962378651004,False,True,False,False,True,28.0
32,30,327.7203284802666,243.38880947936408,502.42287643562145,237.5570147331782,62.993150806865366,178.45414740797662,100.08255718651573,163.79409037648512,64.91211821194692,54.52138623229791,49.384335236925835,22.18125802615748,264.33920519672085,203.7382920087562,246.37970266439223,193.73112496103502,40.0,165.44702592936505,169.56281682035592,False,True,False,False,True,28.0
33,31,327.7203284802666,245.07846509399437,502.42287643562145,237.01719411256616,62.92511245470693,178.45414740797662,100.84029478624606,163.79409037648512,65.8409567057663,54.471277344380894,49.384335236925835,19.274910763212073,264.33920519672085,204.0688246415394,246.37970266439223,195.04568805387237,40.0,165.44702592936505,170.77613229217687,True,True,False,False,False,28.0
34,32,327.7203284802666,248.59319365632908,502.42287643562145,237.52246556491937,62.78358282133381,178.45414740797662,99.45654234316162,163.79409037648512,66.97872558626845,54.56278434640915,49.384335236925835,18.351682315285924,264.33920519672085,204.98169934977497,246.37970266439223,197.60771967269477,40.0,165.44702592936505,170.0246242345953,False,True,False,False,False,28.0
